08:52:59,6842,Absent
08:56:14,3519,Absent
08:56:53,3519,Absent
08:59:57,6842,Absent
09:04:10,6842,Absent
09:05:44,3513,Absent
09:06:34,6842,Absent
09:08:04,3513,Present
09:08:12,6842,Absent
09:11:11,6842,Absent
09:14:39,3513,Present
09:16:04,6842,Absent
09:19:57,3513,Present
09:20:48,3519,Present
09:21:12,6842,Absent
09:25:28,0420,Present
09:25:44,0420,Present
09:26:05,0420,Present
09:26:13,0420,Present
09:28:04,3513,Present
09:28:22,4686,Present
09:30:10,0420,Present
09:30:20,6842,Absent
09:51:11,3512,Present
09:57:10,6842,Absent
10:06:09,6842,Absent
10:07:40,3513,Absent
10:07:51,6842,Absent
10:10:15,3519,Absent
10:10:21,6842,Absent
10:12:04,0000,Absent
10:12:31,6842,Absent
10:18:12,3513,Absent
10:18:24,6842,Absent
10:21:32,3513,Absent
10:21:56,3513,Absent
10:23:16,3513,Absent
10:23:30,6842,Absent
10:27:25,3513,Present
10:27:50,6842,Present
10:31:54,1234,Present
10:34:34,6842,Present
10:36:16,3513,Present
10:36:33,6842,Present
10:40:30,0001,Present
10:40:38,6842,Present
10:47:04,3513,Present
10:47:26,6842,Present
10:52:34,3524,Present
10:52:41,6842,Present
10:53:34,4686,Present
10:58:25,3513,Present
10:58:42,6842,Present
11:03:07,6842,Absent
12:16:10,3513,Absent
12:16:39,6842,Absent
17:43:43,3513,Absent
